"TBPCODIGO.x";"PROCODIGOA";"CCINDICEPROA.x";"CCINDICEPROA2.x";"CCPCOVENDAPROA.x";"CCPCOVENDAPROA2.x";"PROCODIGOB";"CCINDICEPROB.x";"CCINDICEPROB2.x";"CCPCOVENDAPROB.x";"CCPCOVENDAPROB2.x";"TBPCODIGO.y";"CCINDICEPROA.y";"CCINDICEPROA2.y";"CCPCOVENDAPROA.y";"CCPCOVENDAPROA2.y";"CCINDICEPROB.y";"CCINDICEPROB2.y";"CCPCOVENDAPROB.y";"CCPCOVENDAPROB2.y"
29;"LD0231";;;227;227;"TRCE102";0;0;1;1;1;;;241;241;;;217;217
29;"LD0234";;;151,5;151,5;"TRCE102";0;0;1;1;1;;;161;161;;;217;217
29;"LD0239";;;227;227;"TRCE102";0;0;1;1;1;;;241;241;;;217;217
29;"LD0242";;;151,5;151,5;"TRCE102";0;0;1;1;1;;;161;161;;;217;217
29;"LD0657";48,66;48,66;305,5;305,5;"TRCE102";0;0;1;1;1;;;305,5;305,5;;;217;217
29;"LD0658";;;323,5;323,5;"TRCE102";0;0;1;1;1;;;342,5;342,5;;;217;217
29;"LD0659";48,49;48,49;304,5;304,5;"TRCE102";0;0;1;1;1;;;304,5;304,5;;;217;217
29;"LD0660";;;323,5;323,5;"TRCE102";0;0;1;1;1;;;342,5;342,5;;;217;217
29;"LD0779";;;496,5;496,5;"TRCE102";0;0;1;1;1;;;521;521;;;217;217
29;"LD0780";;;496,5;496,5;"TRCE102";0;0;1;1;1;;;521;521;;;217;217
29;"LD0781";;;526;526;"TRCE102";0;0;1;1;1;;;541;541;;;217;217
29;"LD0782";;;569;569;"TRCE102";0;0;1;1;1;;;598;598;;;217;217
29;"LD0783";;;496,5;496,5;"TRCE102";0;0;1;1;1;;;521;521;;;217;217
29;"LD0784";;;496,5;496,5;"TRCE102";0;0;1;1;1;;;521;521;;;217;217
29;"LD0785";;;526;526;"TRCE102";0;0;1;1;1;;;541;541;;;217;217
29;"LD0786";;;569;569;"TRCE102";0;0;1;1;1;;;598;598;;;217;217
29;"LD1024";40,82;40,82;265;265;"TRCE102";0;0;1;1;1;;;265;265;;;217;217
29;"LD1025";40,82;40,82;265;265;"TRCE102";0;0;1;1;1;;;265;265;;;217;217
29;"LD1254";;;362,5;362,5;"TRCE102";0;0;1;1;1;;;381;381;;;217;217
29;"LD1257";;;607,5;607,5;"TRCE102";0;0;1;1;1;;;636;636;;;217;217
29;"LD1258";;;607,5;607,5;"TRCE102";0;0;1;1;1;;;636;636;;;217;217
29;"LD1259";;;636,5;636,5;"TRCE102";0;0;1;1;1;;;655,5;655,5;;;217;217
29;"LD1261";;;435;435;"TRCE102";0;0;1;1;1;;;458;458;;;217;217
29;"LD1264";;;679,5;679,5;"TRCE102";0;0;1;1;1;;;712;712;;;217;217
29;"LD1268";;;362,5;362,5;"TRCE102";0;0;1;1;1;;;381;381;;;217;217
29;"LD1269";;;607,5;607,5;"TRCE102";0;0;1;1;1;;;636;636;;;217;217
29;"LD1270";;;607,5;607,5;"TRCE102";0;0;1;1;1;;;636;636;;;217;217
29;"LD1271";;;636,5;636,5;"TRCE102";0;0;1;1;1;;;655,5;655,5;;;217;217
29;"LD1273";;;435;435;"TRCE102";0;0;1;1;1;;;458;458;;;217;217
29;"LD1274";;;679,5;679,5;"TRCE102";0;0;1;1;1;;;712;712;;;217;217
29;"LD1277";;;362,5;362,5;"TRCE102";0;0;1;1;1;;;381;381;;;217;217
29;"LD1278";;;607,5;607,5;"TRCE102";0;0;1;1;1;;;636;636;;;217;217
29;"LD1279";;;607,5;607,5;"TRCE102";0;0;1;1;1;;;636;636;;;217;217
29;"LD1280";;;636,5;636,5;"TRCE102";0;0;1;1;1;;;655,5;655,5;;;217;217
29;"LD1284";;;435;435;"TRCE102";0;0;1;1;1;;;458;458;;;217;217
29;"LD1285";;;679,5;679,5;"TRCE102";0;0;1;1;1;;;712;712;;;217;217
29;"LD1935";;;398;398;"TRCE102";0;0;1;1;1;;;420,5;420,5;;;217;217
29;"LD1936";;;398;398;"TRCE102";0;0;1;1;1;;;420,5;420,5;;;217;217
29;"LD1937";;;398;398;"TRCE102";0;0;1;1;1;;;420,5;420,5;;;217;217
29;"LD2363";;;554;554;"TRCE100";0;0;1;1;1;;;588,5;588,5;;;217;217
29;"LD2364";;;554;554;"TRCE100";0;0;1;1;1;;;588,5;588,5;;;217;217
29;"LD2365";;;397,5;397,5;"TRCE100";0;0;1;1;1;;;420;420;;;217;217
29;"LD2366";;;554;554;"TRCE100";0;0;1;1;1;;;588,5;588,5;;;217;217
29;"LD2369";;;601;601;"TRCE100";0;0;1;1;1;;;632,5;632,5;;;217;217
29;"LD2370";;;601;601;"TRCE100";0;0;1;1;1;;;632,5;632,5;;;217;217
29;"LD2371";;;444;444;"TRCE100";0;0;1;1;1;;;467;467;;;217;217
29;"LD2372";;;742,5;742,5;"TRCE100";0;0;1;1;1;;;766;766;;;217;217
29;"LD2373";;;898,5;898,5;"TRCE100";0;0;1;1;1;;;934;934;;;217;217
29;"LD2377";;;554;554;"TRCE100";0;0;1;1;1;;;588,5;588,5;;;217;217
29;"LD2378";;;554;554;"TRCE100";0;0;1;1;1;;;588,5;588,5;;;217;217
29;"LD2379";;;397,5;397,5;"TRCE100";0;0;1;1;1;;;420;420;;;217;217
29;"LD2380";;;554;554;"TRCE100";0;0;1;1;1;;;588,5;588,5;;;217;217
29;"LD2383";;;601;601;"TRCE100";0;0;1;1;1;;;632,5;632,5;;;217;217
29;"LD2384";;;601;601;"TRCE100";0;0;1;1;1;;;632,5;632,5;;;217;217
29;"LD2385";;;444;444;"TRCE100";0;0;1;1;1;;;467;467;;;217;217
29;"LD2386";;;742,5;742,5;"TRCE100";0;0;1;1;1;;;766;766;;;217;217
29;"LD2387";;;898,5;898,5;"TRCE100";0;0;1;1;1;;;934;934;;;217;217
29;"LD2391";;;679;679;"TRCE100";0;0;1;1;1;;;672,5;672,5;;;217;217
29;"LD2392";;;679;679;"TRCE100";0;0;1;1;1;;;672,5;672,5;;;217;217
29;"LD2393";;;522,5;522,5;"TRCE100";0;0;1;1;1;;;516;516;;;217;217
29;"LD2394";;;679;679;"TRCE100";0;0;1;1;1;;;672,5;672,5;;;217;217
29;"LD2397";;;725,5;725,5;"TRCE100";0;0;1;1;1;;;719;719;;;217;217
29;"LD2398";;;725,5;725,5;"TRCE100";0;0;1;1;1;;;719;719;;;217;217
29;"LD2399";;;569;569;"TRCE100";0;0;1;1;1;;;562,5;562,5;;;217;217
29;"LD2400";;;866,5;866,5;"TRCE100";0;0;1;1;1;;;860;860;;;217;217
29;"LD2401";;;1022,5;1022,5;"TRCE100";0;0;1;1;1;;;1016;1016;;;217;217
